Firstname,male,female,occurrences
JENS,17,0,29
JENSEN,9,1,18
JENSEY,2,0,3
JENSON,5,0,8
JENY,0,2,4
JENYA,1,6,12
JENYFFER,0,2,4
JEO,1,1,2
JEONG,5,9,27
JEONGHEE,2,0,2
JEORGE,4,0,4
JEOVANNY,2,0,2
JEPHTE,2,0,2
JERA,0,2,3
JERALD,12,0,19
JERAMI,2,0,2
JERARD,7,0,7
JERE,1,1,4
JEREL,8,0,15
JERELL,7,0,12
JERELYN,0,3,4
JEREME,2,0,2
JEREMEY,2,0,2
JEREMI,5,0,7
JEREMIAH,71,0,142
JEREMIAS,6,0,8
JEREMY,740,5,1503
JERI,0,16,44
JERICA,0,4,6
JERICK,3,0,3
JERICO,5,0,7
JERIE,0,2,3
JERIKA,0,2,5
JERILYN,0,8,15
JERIMIAH,2,0,2
JERIN,4,1,7
JERINE,0,2,2
JERM,2,0,2
JERMAIN,6,0,12
JERMAINE,198,1,293
JERMAL,5,0,5
JERMANE,2,0,3
JERMEL,7,0,11
JERMELL,1,1,2
JERMY,1,1,3
JERMYN,2,0,2
JEROD,2,0,7
JERODE,3,0,3
JEROEN,4,0,7
JEROLD,3,0,6
JEROME,243,2,369
JEROMY,2,0,3
JERON,3,0,4
JERONE,3,0,3
JERONIMO,4,0,7
JERRAH,1,1,2
JERRARD,2,0,2
JERREL,4,0,5
JERRELL,10,0,14
JERRI,1,9,19
JERRICA,0,3,7
JERROD,4,0,11
JERROLD,4,0,8
JERSEY,1,3,9
JERSON,9,0,10
JERUSHA,0,2,4
JERVE,2,0,2
JERVIS,5,0,6
JERYL,2,2,5
JES,1,10,28
JESAL,2,1,6
JESCA,0,2,2
JESENIA,0,31,59
JESHER,1,1,2
JESI,0,3,8
JESICA,0,8,14
JESIKA,0,4,9
JESMY,0,2,2
JESON,2,1,3
JESPER,6,0,15
JESS,21,162,455
JESSA,1,13,26
JESSALYN,0,3,8
JESSAMYN,0,4,11
JESSANN,0,2,2
JESSE,621,49,1254
JESSECA,0,3,3
JESSEE,0,2,2
JESSEL,2,1,3
JESSELLE,0,2,2
JESSEN,2,0,5
JESSENIA,0,45,74
JESSEY,0,3,5
JESSI,2,25,71
JESSIBEL,0,2,3
JESSICA,1,2965,6774
JESSICA-,0,2,2
JESSICALYNN,0,2,3
JESSIE,37,220,561
JESSII,0,2,2
JESSIICA,1,1,4
JESSIKA,0,17,37
JESSY,11,47,104
JESSYCA,0,6,8
JESSYE,0,2,4
JESTYN,2,0,2
JESUSITA,0,2,2
JESY,1,3,5
JESÚS,235,3,357
JET,11,2,25
JETA,0,3,4
JETHRO,5,0,8
JETON,3,0,5
JETT,4,0,7
JETTA,1,2,5
JETTINA,0,2,2
JEURY,3,0,4
JEV,2,0,3
JEVAUGHN,3,0,4
JEVAUN,2,0,3
JEVON,18,0,28
JEVONNE,0,3,4
JEWAN,3,0,4
JEWEL,7,40,84
JEWELL,1,7,10
JEWELS,2,6,12
JEXSENIA,0,2,2
JEY,4,2,7
JEYA,1,3,5
JEYLA,0,3,4
JEYSSON,3,0,3
JEZABEL,0,2,3
JEZEBEL,0,3,6
JEŻ,1,1,4
JHANELLE,1,1,3
JHEANELL,0,3,8
JHOAN,5,0,6
JHOANA,0,2,7
JHOANNA,0,5,7
JHOANNY,0,2,3
JHOJAN,3,0,4
JHON,41,0,66
JHONATAN,7,0,9
JHONATHAN,7,0,8
JHONN,2,0,4
JHONNATAN,4,0,4
JHONNY,19,0,30
JHONSON,2,0,3
JHONY,7,0,8
JHOVANA,0,2,2
JHOVANNY,3,0,5
JHUN,4,0,4
JI,21,38,95
JIA,15,27,89
JIAJUN,2,0,2
JIALI,0,4,8
JIALIANG,2,0,4
JIAMIN,1,1,3
JIAMING,2,0,2
JIAN,35,9,88
JIANA,0,2,3
JIANG,9,1,16
JIANING,1,1,4
JIANNA,0,2,3
JIANPING,0,2,3
JIAO,1,2,5
JIAQI,1,1,2
JIAWEI,3,1,5
JIA-YI,1,1,2
JIAYIN,0,2,2
JIAYING,0,3,3
JIB,1,1,3
JIBIN,4,0,7
JIBRAIL,2,0,2
JIBREEL,2,0,2
JIBRI,2,0,3
JIBRIL,2,0,2
JIDE,6,0,10
JIE,16,16,56
JIEUN,0,19,30
JIGAR,10,0,19
JIGGS,2,0,3
JIGISHA,0,2,2
JIGME,3,1,7
JIGNA,0,2,3
JIGNESH,8,0,8
JIHAD,4,0,8
JIHAE,0,6,9
JIHAN,1,8,20
JIHEE,0,6,9
JIHOON,3,0,6
JIHYE,0,10,17
JIHYUN,1,5,13
JIIN,0,2,4
JIJI,0,3,7
JIJO,2,0,2
JIL,0,4,7
JILIAN,0,4,9
JILL,2,560,1260
JILLA,0,2,2
JILLAN,1,2,3
JILLIAN,0,241,576
JILLIANA,0,2,2
JILLIANN,0,2,4
JILLY,0,6,13
JILYAN,0,2,2
JIM,993,2,1694
JIMBO,7,0,13
JIMEKA,0,2,3
JIMENA,0,3,13
JIMENEZ,1,1,4
JIMI,14,1,35
JIMIN,1,2,8
JIMM,3,0,4
JIMMI,2,0,3
JIMMIE,17,1,36
JIMMY,695,3,1296
JIMOND,2,0,2
JIMS,2,0,2
JIMY,4,0,5
JIN,68,36,210
JINA,0,19,36
JINAH,0,5,7
JINAL,4,2,9
JINBIN,1,1,2
JINCY,0,2,6
JINELLE,0,7,8
JINET,0,2,4
JINETT,0,2,2
JINETTE,0,4,6
JING,14,53,127
JINGER,0,2,3
JINGJIN,0,2,2
